,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
7011380,1,2017-01-24 10:43:58,2017-01-24 10:53:01,1,0.6,1,N,170,162,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35
6850630,2,2017-01-29 02:22:58,2017-01-29 02:25:19,2,0.56,1,N,142,239,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36
703645,2,2017-01-01 23:36:20,2017-01-01 23:42:01,1,1.75,1,N,162,262,1,7.5,0.5,0.5,1.32,0.0,0.3,10.12
5342945,2,2017-01-11 21:28:50,2017-01-11 21:38:16,1,0.87,1,N,164,137,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56
8831299,2,2017-01-22 12:49:27,2017-01-22 13:11:06,1,11.26,1,N,132,91,2,32.5,0.0,0.5,0.0,0.0,0.3,33.3
4355249,2,2017-01-20 23:59:26,2017-01-21 00:29:26,6,5.9,1,N,230,80,1,24.0,0.5,0.5,10.0,0.0,0.3,35.3
9096645,2,2017-01-29 22:35:19,2017-01-29 23:10:56,1,14.47,1,N,161,131,1,43.5,0.5,0.5,0.0,0.0,0.3,44.8
3311182,2,2017-01-03 15:50:25,2017-01-03 16:01:28,2,0.55,1,N,164,164,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
7493095,1,2017-01-25 18:57:29,2017-01-25 19:20:28,1,8.9,1,N,138,141,1,27.5,1.0,0.5,6.95,5.54,0.3,41.79
6162618,2,2017-01-13 19:41:26,2017-01-13 20:04:52,1,6.63,1,N,163,209,1,23.5,1.0,0.5,1.0,0.0,0.3,26.3
8854423,2,2017-01-22 23:58:54,2017-01-23 00:24:25,2,8.18,1,N,138,263,2,27.5,0.5,0.5,0.0,5.54,0.3,34.34
7584744,2,2017-01-25 23:48:49,2017-01-25 23:54:42,1,1.48,1,N,234,158,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8
4398229,2,2017-01-21 03:03:45,2017-01-21 03:09:25,6,0.73,1,N,144,125,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8
3781842,2,2017-01-05 07:38:47,2017-01-05 07:49:08,6,1.92,1,N,231,107,1,9.0,0.0,0.5,2.45,0.0,0.3,12.25
2943863,2,2017-01-02 06:30:26,2017-01-02 06:32:41,1,0.7,1,N,162,170,1,4.0,0.0,0.5,1.44,0.0,0.3,6.24
3760931,2,2017-01-05 06:48:06,2017-01-05 06:54:58,4,1.58,1,N,141,161,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
1834543,2,2017-01-06 09:18:42,2017-01-06 09:27:55,1,2.6,1,N,263,229,1,9.5,0.0,0.5,2.06,0.0,0.3,12.36
3404866,2,2017-01-03 21:50:27,2017-01-03 22:04:52,1,2.24,1,N,186,162,1,11.0,0.5,0.5,2.46,0.0,0.3,14.76
1445290,2,2017-01-18 19:14:29,2017-01-18 19:25:55,1,1.6,1,N,237,170,1,9.0,1.0,0.5,2.16,0.0,0.3,12.96
4033033,2,2017-01-20 06:42:35,2017-01-20 06:58:35,1,5.23,1,N,239,231,1,17.5,0.0,0.5,3.66,0.0,0.3,21.96
5984270,1,2017-01-13 09:14:55,2017-01-13 09:19:43,1,0.6,1,N,238,151,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
8263768,1,2017-01-27 20:50:10,2017-01-27 21:14:12,1,5.3,1,N,230,223,1,21.0,0.5,0.5,4.45,0.0,0.3,26.75
7243846,2,2017-01-25 00:05:36,2017-01-25 00:20:48,1,3.49,1,N,114,237,1,13.5,0.5,0.5,4.44,0.0,0.3,19.24
8507117,1,2017-01-28 14:23:11,2017-01-28 14:33:24,2,2.0,1,N,114,230,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
1033646,2,2017-01-17 17:06:27,2017-01-17 17:21:49,1,2.28,1,N,237,151,1,12.0,1.0,0.5,1.5,0.0,0.3,15.3
1578606,1,2017-01-05 23:30:06,2017-01-05 23:34:52,1,1.2,1,N,249,231,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2147166,2,2017-01-06 21:12:14,2017-01-06 21:21:36,2,1.38,1,N,233,170,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8
5018027,1,2017-01-10 09:36:20,2017-01-10 10:07:56,1,13.3,1,N,236,51,2,38.5,0.0,0.5,0.0,0.0,0.3,39.3
8554423,2,2017-01-28 16:24:19,2017-01-28 16:33:34,5,1.56,1,N,162,234,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
9509501,1,2017-01-31 12:12:30,2017-01-31 12:26:05,1,2.0,1,N,237,263,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3
3289473,1,2017-01-03 14:36:23,2017-01-03 14:59:44,3,3.4,1,N,211,161,2,16.5,0.0,0.5,0.0,0.0,0.3,17.3
4673412,2,2017-01-21 21:30:27,2017-01-21 21:32:24,2,0.42,1,N,181,181,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8
7923278,1,2017-01-26 22:35:40,2017-01-26 22:41:16,1,1.4,1,N,229,141,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8
4028892,1,2017-01-20 06:13:36,2017-01-20 06:23:54,1,2.1,1,N,75,237,1,9.5,0.0,0.5,0.0,0.0,0.3,10.3
8449868,2,2017-01-28 11:23:42,2017-01-28 11:42:58,2,7.57,1,N,138,263,1,24.0,0.0,0.5,7.58,5.54,0.3,37.92
8244510,1,2017-01-27 19:55:51,2017-01-27 19:58:08,1,0.3,1,N,79,79,3,3.5,1.0,0.5,0.0,0.0,0.3,5.3
2781109,1,2017-01-08 15:52:23,2017-01-08 15:57:53,1,2.0,1,N,140,233,1,7.5,0.0,0.5,0.0,0.0,0.3,8.3
8904746,1,2017-01-22 15:57:36,2017-01-22 16:04:40,1,0.7,1,N,231,45,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
1885928,2,2017-01-06 12:06:59,2017-01-06 12:16:40,1,1.07,1,N,141,237,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8
6067444,2,2017-01-13 14:53:01,2017-01-13 15:01:35,1,1.1,1,N,161,163,1,7.0,0.0,0.5,1.0,0.0,0.3,8.8
2747508,2,2017-01-08 13:57:47,2017-01-08 14:04:03,1,1.77,1,N,162,236,1,7.5,0.0,0.5,2.08,0.0,0.3,10.38
1249180,1,2017-01-18 08:24:40,2017-01-18 08:29:35,1,0.5,1,N,163,142,1,5.0,0.0,0.5,1.7,0.0,0.3,7.5
4991798,1,2017-01-10 08:13:15,2017-01-10 08:18:15,1,0.8,1,N,162,229,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
6397394,2,2017-01-14 12:52:09,2017-01-14 13:07:55,1,5.16,1,N,170,87,2,17.5,0.0,0.5,0.0,0.0,0.3,18.3
3206494,2,2017-01-03 09:06:17,2017-01-03 09:09:34,1,0.53,1,N,230,50,1,4.5,0.0,0.5,1.06,0.0,0.3,6.36
7231916,2,2017-01-24 22:59:08,2017-01-24 23:03:29,2,1.43,1,N,238,43,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76
5055044,1,2017-01-10 11:26:05,2017-01-10 11:35:58,1,1.0,1,N,264,263,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
2657898,2,2017-01-08 06:52:37,2017-01-08 07:00:13,1,2.25,1,N,238,237,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
718642,2,2017-01-16 15:40:20,2017-01-16 16:21:37,1,11.41,1,N,186,14,2,37.5,0.0,0.5,0.0,5.54,0.3,43.84
3060557,2,2017-01-02 16:46:41,2017-01-02 16:48:10,1,0.2,1,N,262,262,2,3.0,0.0,0.5,0.0,0.0,0.3,3.8
7612063,2,2017-01-26 06:12:42,2017-01-26 06:16:02,1,0.57,1,N,229,161,1,4.5,0.0,0.5,0.7,0.0,0.3,6.0
4476866,1,2017-01-21 11:27:20,2017-01-21 11:42:40,1,2.7,1,N,233,75,1,12.5,0.0,0.5,2.65,0.0,0.3,15.95
4627543,2,2017-01-21 18:55:51,2017-01-21 19:06:46,6,1.58,1,N,137,234,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
1043551,1,2017-01-17 17:38:21,2017-01-17 17:43:11,1,0.6,1,N,113,79,2,5.0,1.0,0.5,0.0,0.0,0.3,6.8
872430,2,2017-01-17 07:43:21,2017-01-17 07:54:24,1,1.16,1,N,48,246,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
907827,1,2017-01-17 09:33:27,2017-01-17 09:47:29,1,0.9,1,N,48,161,1,9.5,0.0,0.5,2.58,0.0,0.3,12.88
5190690,2,2017-01-10 19:33:54,2017-01-10 20:15:19,1,6.17,1,N,246,181,1,29.0,1.0,0.5,3.0,5.54,0.3,39.34
2661011,1,2017-01-08 07:38:16,2017-01-08 07:40:14,1,0.6,1,N,236,75,1,4.0,0.0,0.5,1.4,0.0,0.3,6.2
9326167,2,2017-01-30 19:17:33,2017-01-30 19:33:01,5,2.68,1,N,161,263,1,12.5,1.0,0.5,3.58,0.0,0.3,17.88
5165163,2,2017-01-10 18:17:34,2017-01-10 18:43:14,2,5.89,1,N,238,137,1,22.0,1.0,0.5,2.0,0.0,0.3,25.8
2498049,2,2017-01-19 18:44:44,2017-01-19 19:20:46,2,6.68,1,N,263,243,1,26.0,1.0,0.5,5.56,0.0,0.3,33.36
7360875,2,2017-01-25 11:51:52,2017-01-25 11:59:26,1,0.84,1,N,90,113,1,6.0,0.0,0.5,0.0,0.0,0.3,6.8
8125932,2,2017-01-27 14:29:37,2017-01-27 14:41:55,1,1.14,1,N,237,142,1,9.0,0.0,0.5,0.0,0.0,0.3,9.8
5772577,1,2017-01-12 17:36:17,2017-01-12 17:43:21,1,0.9,1,N,263,140,1,6.5,1.0,0.5,1.65,0.0,0.3,9.95
3132493,1,2017-01-02 22:10:57,2017-01-02 22:13:51,2,0.6,1,N,166,151,1,4.5,0.5,0.5,1.15,0.0,0.3,6.95
8935917,1,2017-01-22 17:49:48,2017-01-22 17:51:48,1,0.4,1,N,237,237,1,3.5,0.0,0.5,0.85,0.0,0.3,5.15
2902137,2,2017-01-09 00:51:06,2017-01-09 00:54:29,5,0.71,1,N,166,151,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96
8442348,2,2017-01-28 10:55:41,2017-01-28 11:12:48,6,3.16,1,N,234,142,1,14.0,0.0,0.5,2.96,0.0,0.3,17.76
4890544,1,2017-01-09 20:14:55,2017-01-09 20:22:41,1,2.3,1,N,263,42,1,8.5,0.5,0.5,1.95,0.0,0.3,11.75
3809349,1,2017-01-05 09:07:41,2017-01-05 09:10:32,2,0.3,1,N,261,13,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
1845645,1,2017-01-06 10:00:24,2017-01-06 10:09:35,1,1.7,1,N,246,142,1,8.5,0.0,0.5,1.85,0.0,0.3,11.15
8175384,2,2017-01-27 17:17:36,2017-01-27 17:33:23,1,2.71,1,N,161,262,2,12.5,1.0,0.5,0.0,0.0,0.3,14.3
9206748,1,2017-01-30 11:52:45,2017-01-30 12:07:18,1,2.0,1,N,262,238,2,11.5,0.0,0.5,0.0,0.0,0.3,12.3
6789164,2,2017-01-23 18:19:53,2017-01-23 18:34:16,1,1.85,1,N,161,234,2,10.5,1.0,0.5,0.0,0.0,0.3,12.3
8283229,1,2017-01-27 21:48:14,2017-01-27 22:04:02,1,3.4,1,N,24,244,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8
6645072,1,2017-01-23 09:47:11,2017-01-23 10:03:41,1,1.9,1,N,68,211,1,11.5,0.0,0.5,2.45,0.0,0.3,14.75
8879330,1,2017-01-23 04:39:54,2017-01-23 04:53:07,1,6.1,1,N,4,226,2,19.0,0.5,0.5,0.0,0.0,0.3,20.3
5415566,1,2017-01-11 13:52:31,2017-01-11 14:15:07,1,3.2,1,N,239,141,1,16.5,0.0,0.5,3.45,0.0,0.3,20.75
5245884,2,2017-01-10 23:28:17,2017-01-10 23:41:05,6,3.49,1,N,231,100,1,13.0,0.5,0.5,0.0,0.0,0.3,14.3
2738061,2,2017-01-08 13:26:15,2017-01-08 13:32:34,1,0.49,1,N,48,230,1,5.5,0.0,0.5,1.0,0.0,0.3,7.3
561451,2,2017-01-15 18:38:23,2017-01-15 18:48:51,1,1.67,1,N,163,234,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
1613982,2,2017-01-18 19:22:36,2017-01-18 19:31:57,1,0.99,1,N,158,113,2,7.5,1.0,0.5,0.0,0.0,0.3,9.3
7273715,2,2017-01-25 07:10:35,2017-01-25 07:26:52,1,3.83,1,N,140,42,1,14.5,0.0,0.5,3.06,0.0,0.3,18.36
8369358,1,2017-01-28 02:19:18,2017-01-28 02:30:17,1,4.6,1,N,229,232,1,15.0,0.5,0.5,3.25,0.0,0.3,19.55
4917152,1,2017-01-09 21:38:51,2017-01-09 21:40:39,1,0.3,1,N,256,256,1,3.5,0.5,0.5,0.0,0.0,0.3,4.8
3040297,2,2017-01-02 15:30:38,2017-01-02 15:33:53,1,0.6,1,N,186,100,1,4.0,0.0,0.5,0.0,0.0,0.3,4.8
4421283,2,2017-01-21 07:11:14,2017-01-21 07:17:41,1,2.29,1,N,234,231,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
7461755,1,2017-01-25 17:54:59,2017-01-25 18:02:07,1,1.1,1,N,166,238,1,7.0,1.0,0.5,1.75,0.0,0.3,10.55
8083760,1,2017-01-27 12:05:57,2017-01-27 12:50:25,3,17.9,2,N,48,132,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
3725462,1,2017-01-09 07:19:19,2017-01-09 08:42:24,1,19.8,1,N,132,257,1,66.0,0.0,0.5,15.0,0.0,0.3,81.8
5736830,1,2017-01-12 15:23:51,2017-01-12 15:34:50,1,2.0,1,N,50,239,1,9.5,0.0,0.5,2.55,0.0,0.3,12.85
2687897,2,2017-01-08 10:31:52,2017-01-08 10:34:52,6,0.95,1,N,237,236,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
4266121,2,2017-01-20 19:15:42,2017-01-20 20:01:05,4,20.36,2,N,132,238,1,52.0,4.5,0.5,12.57,5.54,0.3,75.41
2660474,1,2017-01-08 07:31:42,2017-01-08 07:33:02,1,0.6,1,N,162,170,1,4.0,0.0,0.5,2.0,0.0,0.3,6.8
4628457,2,2017-01-21 18:58:35,2017-01-21 19:28:15,1,2.62,1,N,211,164,1,18.0,0.0,0.5,0.0,0.0,0.3,18.8
3849445,1,2017-01-05 11:42:51,2017-01-05 11:48:56,2,0.5,1,N,163,237,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
5591518,2,2017-01-12 05:56:22,2017-01-12 06:04:09,2,1.54,1,N,137,68,1,7.5,0.5,0.5,1.0,0.0,0.3,9.8
6698377,1,2017-01-23 12:53:34,2017-01-23 12:59:38,1,1.9,1,N,151,142,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
7534037,1,2017-01-25 20:57:10,2017-01-25 21:06:27,1,2.0,1,N,170,141,1,9.0,0.5,0.5,3.05,0.0,0.3,13.35
8819950,2,2017-01-22 12:07:07,2017-01-22 12:13:19,2,0.97,1,N,90,249,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
5241900,1,2017-01-10 23:05:24,2017-01-10 23:15:00,1,2.3,1,N,68,233,1,9.5,0.5,0.5,2.15,0.0,0.3,12.95
6734269,1,2017-01-23 15:13:41,2017-01-23 15:21:12,1,0.7,1,N,231,13,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
9265204,2,2017-01-30 15:50:12,2017-01-30 15:53:05,3,0.52,1,N,142,142,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
2608883,2,2017-01-19 19:43:11,2017-01-19 19:51:52,1,1.6,1,N,90,231,1,8.0,1.0,0.5,1.96,0.0,0.3,11.76
5496371,1,2017-01-11 18:42:22,2017-01-11 18:55:55,1,1.4,1,N,236,229,1,9.5,1.0,0.5,1.0,0.0,0.3,12.3
595051,1,2017-01-15 20:46:42,2017-01-15 20:55:58,1,1.9,1,N,264,239,1,9.0,0.5,0.5,2.7,0.0,0.3,13.0
7789245,2,2017-01-26 16:03:28,2017-01-26 16:07:14,1,0.63,1,N,237,236,2,4.5,1.0,0.5,0.0,0.0,0.3,6.3
8152045,2,2017-01-27 15:53:39,2017-01-27 16:12:52,1,4.72,1,N,138,226,1,17.5,0.0,0.5,0.0,0.0,0.3,18.3
9532262,2,2017-01-31 13:42:35,2017-01-31 13:47:04,1,0.58,1,N,236,237,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96
4881304,2,2017-01-09 19:35:08,2017-01-09 19:40:34,1,0.62,1,N,162,170,1,5.0,1.0,0.5,1.15,0.0,0.3,7.95
610413,2,2017-01-15 21:50:07,2017-01-15 21:51:39,2,0.58,1,N,141,262,1,3.5,0.5,0.5,1.2,0.0,0.3,6.0
4263270,1,2017-01-20 19:07:56,2017-01-20 19:17:03,1,0.8,1,N,211,114,1,7.5,1.0,0.5,2.3,0.0,0.3,11.6
4138749,2,2017-01-20 12:17:08,2017-01-20 12:21:01,1,0.95,1,N,236,43,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
4305853,2,2017-01-20 21:19:02,2017-01-20 21:25:08,1,1.22,1,N,43,239,1,7.0,0.5,0.5,2.08,0.0,0.3,10.38
7170037,1,2017-01-24 19:41:15,2017-01-24 19:55:57,1,2.6,1,N,48,239,1,12.0,1.0,0.5,4.1,0.0,0.3,17.9
2190522,1,2017-01-06 23:02:12,2017-01-06 23:20:53,1,2.9,1,N,107,48,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8
9518359,1,2017-01-31 12:47:48,2017-01-31 12:53:48,1,1.1,1,N,237,239,1,6.5,0.0,0.5,2.15,0.0,0.3,9.45
9171193,2,2017-01-30 09:17:39,2017-01-30 09:29:46,1,2.18,1,N,164,237,1,10.0,0.0,0.5,2.16,0.0,0.3,12.96
3217211,2,2017-01-03 09:47:20,2017-01-03 10:01:21,1,1.56,1,N,48,170,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8
6100632,1,2017-01-13 16:48:34,2017-01-13 17:51:16,1,23.4,2,N,132,79,1,52.0,4.5,0.5,13.0,5.54,0.3,75.84
1329532,2,2017-01-18 13:10:34,2017-01-18 13:20:52,1,1.63,1,N,249,68,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
8579532,2,2017-01-28 17:46:12,2017-01-28 17:57:10,2,1.2,1,N,79,249,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
3317082,1,2017-01-03 16:11:20,2017-01-03 16:20:42,1,1.4,1,N,90,48,1,8.0,1.0,0.5,1.0,0.0,0.3,10.8
1308083,1,2017-01-18 11:50:40,2017-01-18 12:03:41,1,0.8,1,N,229,237,1,9.0,0.0,0.5,1.5,0.0,0.3,11.3
8257113,2,2017-01-27 20:30:49,2017-01-27 20:38:02,1,0.96,1,N,230,162,1,6.5,0.5,0.5,1.56,0.0,0.3,9.36
8408826,1,2017-01-28 08:22:57,2017-01-28 08:25:29,1,0.5,1,N,107,113,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
2515437,2,2017-01-07 19:29:10,2017-01-07 19:49:52,1,2.78,1,N,239,230,1,14.0,0.0,0.5,1.5,0.0,0.3,16.3
4590483,2,2017-01-22 09:37:27,2017-01-22 09:48:27,1,3.15,1,N,13,90,2,11.5,0.0,0.5,0.0,0.0,0.3,12.3
5057263,1,2017-01-10 11:35:28,2017-01-10 11:43:16,1,1.0,1,N,239,236,1,7.0,0.0,0.5,1.95,0.0,0.3,9.75
2253445,2,2017-01-07 01:38:42,2017-01-07 01:50:30,2,2.88,1,N,114,230,1,11.0,0.5,0.5,3.08,0.0,0.3,15.38
5646891,2,2017-01-12 09:38:43,2017-01-12 10:07:07,1,4.7,1,N,152,74,2,19.5,0.0,0.5,0.0,0.0,0.3,20.3
5679790,2,2017-01-12 11:52:24,2017-01-12 11:56:20,1,0.65,1,N,232,4,1,4.5,0.0,0.5,0.5,0.0,0.3,5.8
8671380,2,2017-01-28 19:27:55,2017-01-28 20:25:15,1,18.4,2,N,132,186,1,52.0,0.0,0.5,13.2,0.0,0.3,66.0
4314381,1,2017-01-20 21:46:40,2017-01-20 21:57:45,3,1.5,1,N,234,100,1,8.5,0.5,0.5,1.95,0.0,0.3,11.75
302910,2,2017-01-14 22:28:10,2017-01-14 22:50:30,1,4.78,1,N,249,239,2,19.0,0.5,0.5,0.0,0.0,0.3,20.3
7258165,1,2017-01-25 04:24:32,2017-01-25 04:30:17,1,0.9,1,N,129,129,4,6.0,0.5,0.5,0.0,0.0,0.3,7.3
7236540,2,2017-01-24 23:21:07,2017-01-24 23:30:36,1,2.36,1,N,263,161,1,9.5,0.5,0.5,1.0,0.0,0.3,11.8
6621342,2,2017-01-23 08:24:03,2017-01-23 08:47:37,2,3.44,1,N,211,162,1,16.5,0.0,0.5,1.5,0.0,0.3,18.8
7014809,2,2017-01-24 10:56:44,2017-01-24 11:00:22,1,0.5,1,N,262,141,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
4221998,2,2017-01-20 17:09:40,2017-01-20 17:22:24,3,1.47,1,N,233,230,2,9.5,1.0,0.5,0.0,0.0,0.3,11.3
3985411,1,2017-01-19 23:20:14,2017-01-19 23:58:21,2,8.2,1,N,138,142,1,31.5,0.5,0.5,6.55,0.0,0.3,39.35
2675430,1,2017-01-08 09:32:50,2017-01-08 10:04:34,3,18.1,2,N,164,132,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
5554402,1,2017-01-11 22:54:15,2017-01-11 23:25:10,1,5.9,1,N,79,7,1,23.0,0.5,0.5,3.0,0.0,0.3,27.3
7483123,2,2017-01-29 08:45:23,2017-01-29 08:59:18,1,4.26,1,N,7,237,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8
2130602,2,2017-01-06 20:21:34,2017-01-06 20:40:22,2,2.61,1,N,161,79,1,13.5,0.5,0.5,2.96,0.0,0.3,17.76
6900764,2,2017-01-24 01:10:57,2017-01-24 01:14:21,2,0.91,1,N,230,68,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3
517560,1,2017-01-15 16:07:43,2017-01-15 16:15:16,1,1.4,1,N,246,158,1,7.5,0.0,0.5,1.65,0.0,0.3,9.95
8331868,1,2017-01-28 00:06:16,2017-01-28 00:11:37,2,1.0,1,N,142,48,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75
7023992,1,2017-01-24 11:32:58,2017-01-24 11:37:01,1,0.4,1,N,142,239,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
5322272,2,2017-01-11 09:27:49,2017-01-11 09:37:15,1,1.71,1,N,140,229,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
6750567,2,2017-01-23 16:09:19,2017-01-23 16:16:14,1,0.75,1,N,230,68,1,6.0,1.0,0.5,1.95,0.0,0.3,9.75
3902109,2,2017-01-05 14:27:16,2017-01-05 14:36:20,6,0.91,1,N,164,161,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8
5658711,2,2017-01-12 10:24:52,2017-01-12 10:41:35,1,1.32,1,N,186,170,1,11.5,0.0,0.5,3.69,0.0,0.3,15.99
4347122,2,2017-01-20 23:31:41,2017-01-20 23:47:42,1,3.34,1,N,100,236,1,14.0,0.5,0.5,3.06,0.0,0.3,18.36
394088,1,2017-01-15 05:39:04,2017-01-15 06:05:40,1,8.8,1,N,148,56,1,27.5,0.5,0.5,2.0,0.0,0.3,30.8
7545625,2,2017-01-25 21:32:33,2017-01-25 21:36:32,2,0.88,1,N,170,68,1,5.0,0.5,0.5,0.0,0.0,0.3,6.3
6544390,2,2017-01-16 11:48:25,2017-01-16 11:53:50,1,0.62,1,N,170,170,1,5.5,0.0,0.5,1.2,0.0,0.3,7.5
5172259,2,2017-01-10 18:38:33,2017-01-10 19:00:22,1,4.57,1,N,107,75,1,17.0,1.0,0.5,4.7,0.0,0.3,23.5
646479,1,2017-01-01 18:16:38,2017-01-01 18:22:51,1,1.0,1,N,48,50,1,6.0,1.0,0.5,1.55,0.0,0.3,9.35
3670053,1,2017-01-04 20:18:03,2017-01-04 20:21:55,2,0.7,1,N,231,261,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
2653592,2,2017-01-08 05:23:04,2017-01-08 05:36:33,1,4.1,1,N,249,141,1,13.5,0.5,0.5,2.96,0.0,0.3,17.76
7533438,1,2017-01-25 20:55:17,2017-01-25 21:36:28,1,6.9,1,N,170,225,2,29.0,0.5,0.5,0.0,0.0,0.3,30.3
